date,event,type,source
2026-02-13,Trump orders USS Gerald Ford carrier group to Middle East,escalation,https://en.wikipedia.org/wiki/2026_Iran_war
2026-02-28,US-Israel launch airstrikes on Iran. Khamenei killed.,escalation,https://en.wikipedia.org/wiki/2026_Iran_war
2026-03-01,Trump: 'Just about everything has been knocked out',escalation,https://en.wikipedia.org/wiki/2026_Iran_war
2026-03-03,Trump says war will last 4-5 weeks,escalation,https://www.yahoo.com/news/articles/trumps-timeline-attacking-irans-critical-182611445.html
2026-03-06,Trump: No deal without 'unconditional surrender',escalation,https://www.cnbc.com/2026/03/05/stock-market-today-live-updates.html
2026-03-11,Trump primetime speech: 'War ends soon',de-escalation,https://www.aljazeera.com/news/2026/4/2/trumps-primetime-speech-on-iran-war-key-takeaways
2026-03-21,Trump 48-hr ultimatum: obliterate power plants if Hormuz not opened,escalation,https://www.pbs.org/newshour/world/3-times-trump-has-given-iran-deadlines-and-then-delayed-them
2026-03-23,Trump postpones strikes 5 days citing 'productive conversations',de-escalation,https://www.pbs.org/newshour/world/3-times-trump-has-given-iran-deadlines-and-then-delayed-them
2026-03-26,Trump extends deadline 10 days but warns 'get serious soon',mixed,https://www.pbs.org/newshour/world/3-times-trump-has-given-iran-deadlines-and-then-delayed-them
2026-03-30,Trump threatens to destroy oil wells and Kharg Island,escalation,https://www.pbs.org/newshour/world/3-times-trump-has-given-iran-deadlines-and-then-delayed-them
2026-03-31,Report: Iran president open to ending war with guarantees,de-escalation,https://www.cnbc.com/2026/03/30/stock-market-today-live-updates.html
2026-04-02,Trump primetime speech: 'Getting very close',de-escalation,https://www.aljazeera.com/news/2026/4/2/trumps-primetime-speech-on-iran-war-key-takeaways
2026-04-06,Trump sets final deadline: Tuesday April 7 8pm ET,escalation,https://www.yahoo.com/news/articles/trumps-timeline-attacking-irans-critical-182611445.html
2026-04-07,Trump: 'A whole civilization will die tonight',escalation,https://www.nbcnews.com/politics/white-house/trump-threat-whole-civilization-will-die-iran-war-deadline-hormuz-rcna267059
2026-04-07,Trump announces 2-week ceasefire via Truth Social,de-escalation,https://www.cnbc.com/2026/04/07/trump-iran-ceasefire-hormuz-strait.html
2026-04-08,Trump: 'Big money will be made' as Hormuz reopens,de-escalation,https://www.cnbc.com/2026/04/08/trump-iran-ceasefire-strait-of-hormuz-toll.html
2026-04-09,Trump: military stays until 'real agreement' - Iran's plan 'totally fake',escalation,https://www.cnbc.com/amp/2026/04/09/trump-military-troops-iran-conflict-middle-east-hormuz.html
